ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
4393,Maharashtra,1978,131,1,UMRED,GEN,DAKATE PURUSHOTTAM MANSARAM,M,,,INC,43171
4394,Maharashtra,1978,131,2,UMRED,GEN,DARNE SHRAWAN DOMAJI,M,,,IND,12527
4395,Maharashtra,1978,131,3,UMRED,GEN,BANTE SHANKARRAO HARIBHAU,M,,,RPK,10722
4396,Maharashtra,1978,131,4,UMRED,GEN,WAGHMARE ADKUJI LALUJI,M,,,IND,4611
4397,Maharashtra,1978,131,5,UMRED,GEN,TARNEKAR DAMUJI SADASHIO,M,,,INC,2964
4398,Maharashtra,1978,131,6,UMRED,GEN,ZODAPE MUKUNDRAO NARAYAN,M,,,IND,1206
4399,Maharashtra,1978,131,7,UMRED,GEN,DESHMUKH DAYARAM RAWAJI,M,,,IND,1188
4400,Maharashtra,1978,131,8,UMRED,GEN,MASRAM INDRARAJSINGH CHANDANSINGH,M,,,IND,558
4401,Maharashtra,1978,131,9,UMRED,GEN,SAMBHAJI CHAITUJI RAGHATATE,M,,,IND,163
6130,Maharashtra,1980,131,1,UMRED,GEN,MULAK BHAUSAHEB GOVINDRAO,M,,,INC,22145
6131,Maharashtra,1980,131,2,UMRED,GEN,ITANKAR DEORAO SHRAWAN,M,,,INC(U),12715
6132,Maharashtra,1980,131,3,UMRED,GEN,DEKATE PURUSHOTTAM MANSARAM,M,,,IND,9356
6133,Maharashtra,1980,131,4,UMRED,GEN,WALKE CHINTAMAN JANBA,M,,,IND,7953
6134,Maharashtra,1980,131,5,UMRED,GEN,DUBEY SHAMBABU GANGAPRASAD,M,,,BJP,1896
6135,Maharashtra,1980,131,6,UMRED,GEN,PAUNIKAR PANDURANG PUNDLIK,M,,,IND,1107
6136,Maharashtra,1980,131,7,UMRED,GEN,BOKADE EKNATH GOVINDA,M,,,IND,713
8064,Maharashtra,1985,131,1,UMRED,GEN,PARATE SHRAWAN GOVINDRAO,M,,,ICS,45223
8065,Maharashtra,1985,131,2,UMRED,GEN,BHAUSAHEB GOVINDRAO MULAK,M,,,INC,30650
8066,Maharashtra,1985,131,3,UMRED,GEN,HARISHCHANDRA MANGOJI MESHRAM,M,,,RPI,2817
8067,Maharashtra,1985,131,4,UMRED,GEN,BAKDE AMBADAS GOPALRAO,M,,,IND,1573
8068,Maharashtra,1985,131,5,UMRED,GEN,MANDPE NILKANTH HILKU,M,,,IND,595
8069,Maharashtra,1985,131,6,UMRED,GEN,DILIP RAMCHANDRA RATHOD,M,,,IND,417
10785,Maharashtra,1990,131,1,UMRED,GEN,PARATE SHARWAN GOVINDRAO,M,,,INC,29555
10786,Maharashtra,1990,131,2,UMRED,GEN,ITKELWAR VASANTRAO BALAJI,M,56,GEN,IND,23146
10787,Maharashtra,1990,131,3,UMRED,GEN,MESHRA NATTU HARI,M,,,RPK,20343
10788,Maharashtra,1990,131,4,UMRED,GEN,GODE KESHORAO PANDURANG,M,,,JD,13260
10789,Maharashtra,1990,131,5,UMRED,GEN,SAMARTH CHANDRASHEKHAR TUKARAMJI,M,,,IND,6375
10790,Maharashtra,1990,131,6,UMRED,GEN,TRAYMBAKRAO (DINKAR) MAROTRAO CHAKOLE,M,,,SHS,5135
10791,Maharashtra,1990,131,7,UMRED,GEN,NAMDEO SHARWAN BELE,M,,,IND,710
10792,Maharashtra,1990,131,8,UMRED,GEN,KISHANAJI SADASHIV MESHRAM,M,,,IND,388
10793,Maharashtra,1990,131,9,UMRED,GEN,DESHMUKH DEVIDAS MAHADEO,M,,,BSP,354
10794,Maharashtra,1990,131,10,UMRED,GEN,DHAKUNKAR GANGADHAR NATTHUJI,M,,,IND,298
10795,Maharashtra,1990,131,11,UMRED,GEN,GAIKWAD PARMESHWAR RAMCHANDRA,M,,,IND,274
10796,Maharashtra,1990,131,12,UMRED,GEN,SHENDE RAMKRISHNA VITOBAJI,M,,,ICS(SCS),272
10797,Maharashtra,1990,131,13,UMRED,GEN,ANAND GOPALRAO THAKRE,M,,,IND,184
10798,Maharashtra,1990,131,14,UMRED,GEN,MADHUKAR GOVINDRAO GANAR,M,,,IND,171
10799,Maharashtra,1990,131,15,UMRED,GEN,ASHOK SHRIRAM GAIKWAD,M,,,IND,91
10800,Maharashtra,1990,131,16,UMRED,GEN,MURLIDHAR MANIRAM WANKHEDE,M,,,IND,76
14997,Maharashtra,1995,131,1,UMRED,GEN,PARATE SHRAWAN GOVINDRAO,M,,,INC,33930
14998,Maharashtra,1995,131,2,UMRED,GEN,ITKELWAR VASANTRAO BALAJI,M,61,GEN,IND,30686
14999,Maharashtra,1995,131,3,UMRED,GEN,MEHSRAM NATHU HARI,M,,,BSP,23478
15000,Maharashtra,1995,131,4,UMRED,GEN,VITTHALRAO JAGOBAJI RAUT PATIL,M,40,GEN,BJP,12891
15001,Maharashtra,1995,131,5,UMRED,GEN,ITANKAR DEORAO SHRAWANJI,M,,,IND,10525
15002,Maharashtra,1995,131,6,UMRED,GEN,DEORAO MADHO BURE,M,,,IND,5950
15003,Maharashtra,1995,131,7,UMRED,GEN,GODE KESHAORAO PANDURANJI,M,,,IND,4179
15004,Maharashtra,1995,131,8,UMRED,GEN,SHIRSHIKAR RAJU YOGSHWAR,M,,,IND,4102
15005,Maharashtra,1995,131,9,UMRED,GEN,KUMARE VISHNUKANT SURYAKANT,M,,,IND,2436
15006,Maharashtra,1995,131,10,UMRED,GEN,DHANARE KAMALAKAR NATHUJI,M,,,ICS,1558
15007,Maharashtra,1995,131,11,UMRED,GEN,MUN JANARDHAN GULABRAO,M,,,RPI(K),890
15008,Maharashtra,1995,131,12,UMRED,GEN,DEKATE PURSHOTTAM MANSARAM,M,,,IND,879
15009,Maharashtra,1995,131,13,UMRED,GEN,CHANDAN SOMAJI MUL,M,,,IND,825
15010,Maharashtra,1995,131,14,UMRED,GEN,KANTHIRAM PARSHRAMJI CHACHERKAR,M,,,IND,644
15011,Maharashtra,1995,131,15,UMRED,GEN,SHEBE PANDURANG MUKUNDRAO,M,,,IND,610
15012,Maharashtra,1995,131,16,UMRED,GEN,SHAMRAO DOMA DESHMUKH,M,,,IND,557
15013,Maharashtra,1995,131,17,UMRED,GEN,CHAUDHARI BALAKRISHNA NATHU,M,,,IND,548
15014,Maharashtra,1995,131,18,UMRED,GEN,MESHRAM SONBA YADEORAO,M,,,IND,482
15015,Maharashtra,1995,131,19,UMRED,GEN,PAWAR GANESH YENCHEYA,M,,,IND,338
