ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
24770,Maharashtra,2009,190,1,URAN,GEN,PATIL VIVEKANAND SHANKAR,M,54,GEN,PWPI,82017
24771,Maharashtra,2009,190,2,URAN,GEN,MHATRE SHYAM PADAJI,M,55,GEN,INC,61992
24772,Maharashtra,2009,190,3,URAN,GEN,MHATRE SHAM GAJANAN,M,61,GEN,BSP,2380
24773,Maharashtra,2009,190,4,URAN,GEN,USHATAI PANDURANG,F,48,GEN,BBM,2266
24774,Maharashtra,2009,190,5,URAN,GEN,GAJANAN BALARAM TANDEL,M,46,GEN,IND,1745
24775,Maharashtra,2009,190,6,URAN,GEN,KADU MADHUKAR SUDAM,M,40,GEN,IND,1718
24776,Maharashtra,2014,190,1,URAN,GEN,MANOHAR GAJANAN BHOIR,M,53,GEN,SHS,56131
24777,Maharashtra,2014,190,2,URAN,GEN,PATIL VIVEKANAND SHANKAR,M,59,GEN,PWPI,55320
24778,Maharashtra,2014,190,3,URAN,GEN,GHARAT MAHENDRA TUKARAM,M,47,GEN,INC,34253
24779,Maharashtra,2014,190,4,URAN,GEN,BALDI MAHESH,M,47,GEN,BJP,32632
24780,Maharashtra,2014,190,5,URAN,GEN,ATUL PARSHURAM BHAGAT,M,46,GEN,MNS,3583
24781,Maharashtra,2014,190,6,URAN,GEN,PRASHANT BALKRUSHAN PATIL,M,48,GEN,NCP,3215
24782,Maharashtra,2014,190,7,URAN,GEN,DIPAK SHANKAR PATIL,M,41,GEN,SP,1869
24783,Maharashtra,2014,190,8,URAN,GEN,PANDHARINATH NAMDEV PATIL,M,41,GEN,BMUP,1243
24784,Maharashtra,2014,190,9,URAN,GEN,None of the Above,,,,NOTA,1199
24785,Maharashtra,2014,190,10,URAN,GEN,PATIL GOPAL GAJANAN,M,53,GEN,IND,1081
24786,Maharashtra,2014,190,11,URAN,GEN,TUKARAM MANYA PAWAR,M,41,ST,IND,940
24787,Maharashtra,2014,190,12,URAN,GEN,NITYANAND RAM THAKUR,M,39,GEN,IND,805
24788,Maharashtra,2014,190,13,URAN,GEN,MAHENDRA DINKAR GHARAT,M,32,GEN,IND,748
24789,Maharashtra,2014,190,14,URAN,GEN,BALKRUSHNA DHANAJI GHARAT,M,49,GEN,IND,684
24790,Maharashtra,2014,190,15,URAN,GEN,VIVEK PANDURANG PATIL,M,29,GEN,IND,675
24791,Maharashtra,2014,190,16,URAN,GEN,SANTOSH SHANKAR BHAGAT,M,37,GEN,IND,659
24792,Maharashtra,2014,190,17,URAN,GEN,ASGAR MAQBOOL MALIK,M,48,GEN,BSP,625
24793,Maharashtra,2014,190,18,URAN,GEN,VIVEKANAND RAJARAM PATIL,M,44,GEN,IND,524
24794,Maharashtra,2014,190,19,URAN,GEN,MANOHARSET BHOIR,M,63,GEN,IND,397
24795,Maharashtra,2014,190,20,URAN,GEN,NILAM MADHUKAR KADU,F,40,GEN,IND,369
24796,Maharashtra,2014,190,21,URAN,GEN,GHARAT MAHENDRA SHANTARAM,M,31,GEN,IND,341
24797,Maharashtra,2014,190,22,URAN,GEN,BHAGAT ROHAN NAGU,M,44,GEN,IND,321
24798,Maharashtra,2014,190,23,URAN,GEN,GHARAT MAHENDRA KAMLAKAR,M,41,GEN,IND,279
