ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
3948,Maharashtra,1978,61,1,VASAI,GEN,CHOUDHARI PANDHARINATH RAGHUNATH,M,,,JNP,49163
3949,Maharashtra,1978,61,2,VASAI,GEN,VARTAK TARABAI NARSINHA,F,,,INC,31412
3950,Maharashtra,1978,61,3,VASAI,GEN,MAYEKAR BHASKAR SAHADEO,M,,,SHS,4146
5759,Maharashtra,1980,61,1,VASAI,GEN,VARTAK TARABAI NARSINH,F,,,INC,34627
5760,Maharashtra,1980,61,2,VASAI,GEN,CHAUDHARI PANDHARINATH RAGHUNATH,M,,,JNP,28332
5761,Maharashtra,1980,61,3,VASAI,GEN,UMESH VASUDEV PAI,M,,,BJP,5546
7485,Maharashtra,1985,61,1,VASAI,GEN,GONSALVES DOMINIC JOHN,M,,,JNP,46633
7486,Maharashtra,1985,61,2,VASAI,GEN,VARTAK TARABAI NARSINH,F,,,INC,42696
7487,Maharashtra,1985,61,3,VASAI,GEN,PATIL DHARMAJI NARAYAN,M,,,IND,3681
7488,Maharashtra,1985,61,4,VASAI,GEN,USHATAI RAMCHANDRA KANGANE,F,,,IND,235
7489,Maharashtra,1985,61,5,VASAI,GEN,UPADHYAY PRAMOD HARISHANKAR,M,,,IND,217
9758,Maharashtra,1990,61,1,VASAI,GEN,HITENDRA VISHNU THAKUR,M,29,GEN,INC,92958
9759,Maharashtra,1990,61,2,VASAI,GEN,DOMINIK JOHN GONSALVIS,M,,,JD,46490
9760,Maharashtra,1990,61,3,VASAI,GEN,MADAN KINI,M,,,SHS,14629
9761,Maharashtra,1990,61,4,VASAI,GEN,DOMINIC PAUL GHONSALVIS,M,,,IND,477
9762,Maharashtra,1990,61,5,VASAI,GEN,SHRAWAN SADASHIV KAMBALE,M,,,IND,234
9763,Maharashtra,1990,61,6,VASAI,GEN,KANOJIA PRABHORAM RAMLAL,M,,,BSP,175
9764,Maharashtra,1990,61,7,VASAI,GEN,MAURYA RAMADHAN SURAJ,M,,,DDP,142
9765,Maharashtra,1990,61,8,VASAI,GEN,SING JANARDAN PRASAD HARIBANS,M,,,IND,81
13782,Maharashtra,1995,61,1,VASAI,GEN,HITENDRA VISHNU THAKUR,M,34,GEN,IND,81463
13783,Maharashtra,1995,61,2,VASAI,GEN,DEEPAK GAVANKAR,M,,,SHS,47888
13784,Maharashtra,1995,61,3,VASAI,GEN,VICHARE VILAS BALKRISHNA,M,,,JD,25102
13785,Maharashtra,1995,61,4,VASAI,GEN,ARUN KASINATH PATIL,M,,,INC,18050
13786,Maharashtra,1995,61,5,VASAI,GEN,PANDIT VIVEK RAGHUNATH,M,39,GEN,IND,15552
13787,Maharashtra,1995,61,6,VASAI,GEN,ANDRADES (ANDRAT) MERY MICHEL,F,,,IND,1181
13788,Maharashtra,1995,61,7,VASAI,GEN,PANNALAL SHANTI SWARUP,M,,,IND,1060
13789,Maharashtra,1995,61,8,VASAI,GEN,CHAUDHARI MUKHLAL JAGANDEO,M,,,DDP,618
13790,Maharashtra,1995,61,9,VASAI,GEN,PATIL ARUN HARISHCHANDRA,M,,,IND,478
13791,Maharashtra,1995,61,10,VASAI,GEN,HUMANE SHIVRAJ DHONDIRAM,M,,,IND,417
13792,Maharashtra,1995,61,11,VASAI,GEN,ALMEDA DAGLAS LUIS,M,,,IND,384
13793,Maharashtra,1995,61,12,VASAI,GEN,D'COSTA VILSON SEBESTIN,M,,,IND,317
13794,Maharashtra,1995,61,13,VASAI,GEN,VAZ THOMAS JOJEPH,M,,,IND,313
13795,Maharashtra,1995,61,14,VASAI,GEN,PATIL ARUN KASHINATH,M,,,IND,301
13796,Maharashtra,1995,61,15,VASAI,GEN,PATIL ARUN WAMAN,M,,,IND,197
13797,Maharashtra,1995,61,16,VASAI,GEN,DOMNIK PAWL GONSALVIS,M,,,IND,177
13798,Maharashtra,1995,61,17,VASAI,GEN,NOVEL NANVEL DABARE,M,,,IND,117
18096,Maharashtra,1999,61,1,VASAI,GEN,HITENDRA VISHNU THAKUR,M,38,GEN,IND,85352
18097,Maharashtra,1999,61,2,VASAI,GEN,DEEPAK GAVANKAR,M,,,SHS,34924
18098,Maharashtra,1999,61,3,VASAI,GEN,MANUEL JOSEPH TUSCANO,M,,,JD(S),24780
18099,Maharashtra,1999,61,4,VASAI,GEN,DATTA NAR,M,,,IND,4974
18100,Maharashtra,1999,61,5,VASAI,GEN,SALMAN (BABU) GULAM MISAL,M,,,IND,1258
20211,Maharashtra,2004,61,3,VASAI,GEN,JAYASHREE UDAY SAMANT,F,52,GEN,JD(S),9097
20212,Maharashtra,2004,61,1,VASAI,GEN,HITENDRA VISHNU THAKUR,M,43,GEN,IND,161718
20213,Maharashtra,2004,61,4,VASAI,GEN,SUKHDEV JAYRAM KHAIRNAR,M,49,SC,BSP,3118
20214,Maharashtra,2004,61,2,VASAI,GEN,PANDIT VIVEK RAGHUNATH,M,48,GEN,SHS,93801
24083,Maharashtra,2009,133,1,VASAI,GEN,PANDIT VIVEK RAGHUNATH,M,52,GEN,IND,81358
24084,Maharashtra,2009,133,2,VASAI,GEN,NARAYAN MANKAR,M,58,GEN,BVA,64560
24085,Maharashtra,2009,133,3,VASAI,GEN,ADV.GHONSALVIS JIMI,M,46,GEN,INC,8695
24086,Maharashtra,2009,133,4,VASAI,GEN,DATTA NAR,M,51,GEN,LB,3883
24087,Maharashtra,2009,133,5,VASAI,GEN,DOMNIC SABESTIN D'MELO,M,45,GEN,IND,3460
24088,Maharashtra,2009,133,6,VASAI,GEN,DENIS BASTYAV LOPIS,M,39,GEN,IND,2229
24089,Maharashtra,2009,133,7,VASAI,GEN,CLAID MANVEL MARTIN,M,36,GEN,IND,1294
24090,Maharashtra,2009,133,8,VASAI,GEN,SALAMAN GULAM MISHAL,M,45,GEN,IND,1184
24091,Maharashtra,2009,133,9,VASAI,GEN,THOMAS LAWRENCE,M,48,GEN,IND,900
24092,Maharashtra,2009,133,10,VASAI,GEN,TAMBE VINOD VISHRAM,M,30,GEN,BSP,691
24093,Maharashtra,2014,133,1,VASAI,GEN,HITENDRA VISHNU THAKUR,M,53,GEN,BVA,97291
24094,Maharashtra,2014,133,2,VASAI,GEN,PANDIT VIVEK RAGHUNATH,M,57,GEN,IND,65395
24095,Maharashtra,2014,133,3,VASAI,GEN,FURTYADO MICHAEL POSHAN,M,59,GEN,INC,16467
24096,Maharashtra,2014,133,4,VASAI,GEN,MANVEL JOSEPH TUSCANO,M,65,GEN,IND,3981
24097,Maharashtra,2014,133,5,VASAI,GEN,None of the Above,,,,NOTA,2964
24098,Maharashtra,2014,133,6,VASAI,GEN,SWAPNIL SANTOSH NAR,M,29,GEN,MNS,2329
24099,Maharashtra,2014,133,7,VASAI,GEN,TAMBE VINOD VISHRAM,M,35,SC,BSP,930
24100,Maharashtra,2014,133,8,VASAI,GEN,ARVIND VIJAYKUMAR UPADHYAY,M,50,GEN,IND,677
24101,Maharashtra,2014,133,9,VASAI,GEN,ADV. SADASHIV YADAVRAO HATKAR,M,40,SC,BMUP,595
