ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1367,Maharashtra,1967,43,1,VILEPARLE,GEN,P. H. VORA,M,,,INC,24298
1368,Maharashtra,1967,43,2,VILEPARLE,GEN,K. H. DEODHAR,M,,,IND,9690
1369,Maharashtra,1967,43,3,VILEPARLE,GEN,N. B. SHENDE,M,,,BJS,7884
1370,Maharashtra,1967,43,4,VILEPARLE,GEN,V. N. GUPTE,M,,,PSP,6886
1371,Maharashtra,1967,43,5,VILEPARLE,GEN,R. N. DESAI,M,,,IND,5913
1372,Maharashtra,1967,43,6,VILEPARLE,GEN,R. R. CHOMAL,M,,,IND,4484
1373,Maharashtra,1967,43,7,VILEPARLE,GEN,S. M. MOHAMMAD,M,,,IND,382
2582,Maharashtra,1972,43,1,VILEPARLE,GEN,CHANDULAL SHAH KANTABEN,M,,,INC,39531
2583,Maharashtra,1972,43,2,VILEPARLE,GEN,PRANLAL HARKISHANDAS VORA,M,,,NCO,14841
2584,Maharashtra,1972,43,3,VILEPARLE,GEN,PADMAKAR K. DHAMDHERE,M,,,SHS,10941
2585,Maharashtra,1972,43,4,VILEPARLE,GEN,RUIYA PURUSHOTTAM GOPIRAM,M,,,BJS,9256
2586,Maharashtra,1972,43,5,VILEPARLE,GEN,RANGNATH D. SURYAWANSHI,M,,,IND,603
3796,Maharashtra,1978,38,1,VILEPARLE,GEN,PRANLAL VORA,M,,,JNP,46382
3797,Maharashtra,1978,38,2,VILEPARLE,GEN,PUSHPAKANT ANANT MHATRE,M,,,INC,9680
3798,Maharashtra,1978,38,3,VILEPARLE,GEN,HARIHAR SHELAT,M,,,INC,9161
3799,Maharashtra,1978,38,4,VILEPARLE,GEN,RAJARAM YESHWANT GADEKAR,M,,,SHS,4415
5589,Maharashtra,1980,38,1,VILEPARLE,GEN,PRANLAL VORA,M,,,JNP,24215
5590,Maharashtra,1980,38,2,VILEPARLE,GEN,DINESH MEHTA,M,,,INC,18067
5591,Maharashtra,1980,38,3,VILEPARLE,GEN,SINGH SUBHEDAR ROOPNARAYAN,M,,,JNP(SR),456
7232,Maharashtra,1985,38,1,VILEPARLE,GEN,HANS BHUGRA,M,,,INC,27500
7233,Maharashtra,1985,38,2,VILEPARLE,GEN,PRANLAL VORA,M,,,JNP,25231
7234,Maharashtra,1985,38,3,VILEPARLE,GEN,VANITA PATEL,F,,,IND,1261
7235,Maharashtra,1985,38,4,VILEPARLE,GEN,LINESH SHETH,M,,,IND,552
7236,Maharashtra,1985,38,5,VILEPARLE,GEN,ASHOK JAIN,M,,,IND,387
7237,Maharashtra,1985,38,6,VILEPARLE,GEN,SHAMBHULAL GOUD,M,,,IND,209
7238,Maharashtra,1985,38,7,VILEPARLE,GEN,RAJMANI SINGH,M,,,IND,191
9485,Maharashtra,1990,38,1,VILEPARLE,GEN,RAMESH YASHSANT PRABHOO,M,,,SHS,44408
9486,Maharashtra,1990,38,2,VILEPARLE,GEN,PUSHPAKANT ANANT MHATRE,M,,,INC,31520
9487,Maharashtra,1990,38,3,VILEPARLE,GEN,VASHI MANUBHAI P.,M,,,JD,18866
9488,Maharashtra,1990,38,4,VILEPARLE,GEN,DEVENDRA GULAB JOSHI,M,,,IND,720
9489,Maharashtra,1990,38,5,VILEPARLE,GEN,PRABHUDAS NARANDAS SHAH,M,,,IND,467
9490,Maharashtra,1990,38,6,VILEPARLE,GEN,BHATIA MAHENDERE SINGH,M,,,IND,447
9491,Maharashtra,1990,38,7,VILEPARLE,GEN,PRADIP JAMANADAS MODI,M,,,IND,253
9492,Maharashtra,1990,38,8,VILEPARLE,GEN,DHARAMDEO RAMASHANKER PRAJAPATI,M,,,DDP,132
9493,Maharashtra,1990,38,9,VILEPARLE,GEN,BHARATI V. BHATT,F,,,LKD(B),115
9494,Maharashtra,1990,38,10,VILEPARLE,GEN,SUMANTRAI BHIMBHAI DESAI,M,,,IND,44
13341,Maharashtra,1995,38,1,VILEPARLE,GEN,GURUNATH KRISHNA DESAI,M,,,SHS,66333
13342,Maharashtra,1995,38,2,VILEPARLE,GEN,JITENDRA GULAB JOSHI,M,,,INC,37528
13343,Maharashtra,1995,38,3,VILEPARLE,GEN,LALJI RAMKISHOR YADAV,M,,,BSP,4827
13344,Maharashtra,1995,38,4,VILEPARLE,GEN,C.R. PAWAR,M,,,JP,1769
13345,Maharashtra,1995,38,5,VILEPARLE,GEN,SUBHEDAR ROOPNARAYAN,M,,,JD,1573
13346,Maharashtra,1995,38,6,VILEPARLE,GEN,KAMLESH K. NAIR,M,,,IND,1425
13347,Maharashtra,1995,38,7,VILEPARLE,GEN,KANJI WALJI SHAH,M,,,IND,1137
13348,Maharashtra,1995,38,8,VILEPARLE,GEN,NORMA TELLIS,F,,,IND,1113
13349,Maharashtra,1995,38,9,VILEPARLE,GEN,ASHOK ABAJI KAMBLE,M,,,IND,698
13350,Maharashtra,1995,38,10,VILEPARLE,GEN,SHAH RASIKLAL BHIMSHI,M,,,IND,547
13351,Maharashtra,1995,38,11,VILEPARLE,GEN,PLAMBER JOHAR ANIS GULAM,M,,,PDP,479
13352,Maharashtra,1995,38,12,VILEPARLE,GEN,DABHOLKAR JITENDRA S.,M,,,IND,320
13353,Maharashtra,1995,38,13,VILEPARLE,GEN,KELKAR AVCHIT,M,,,IND,240
13354,Maharashtra,1995,38,14,VILEPARLE,GEN,DESAI ARUN B.,M,,,IND,180
13355,Maharashtra,1995,38,15,VILEPARLE,GEN,RAMESH KAR,M,,,IND,175
13356,Maharashtra,1995,38,16,VILEPARLE,GEN,WAGHMARE SHRIRANG M.,M,,,IND,168
13357,Maharashtra,1995,38,17,VILEPARLE,GEN,PRAJAPATI OMPRAKASH,M,,,DDP,161
17899,Maharashtra,1999,38,1,VILEPARLE,GEN,VINAYAK RAUT,M,,,SHS,45499
17900,Maharashtra,1999,38,2,VILEPARLE,GEN,ASHOK BHAU JADHAV,M,,,INC,43790
17901,Maharashtra,1999,38,3,VILEPARLE,GEN,PUSHPAKANT ANANT MHATRE,M,,,NCP,8959
17902,Maharashtra,1999,38,4,VILEPARLE,GEN,BRIJBHAN SAHANI,M,,,BSP,714
17903,Maharashtra,1999,38,5,VILEPARLE,GEN,P. K. SHANKAR,M,,,THPI,446
17904,Maharashtra,1999,38,6,VILEPARLE,GEN,RAVINDRA HARI GIRKAR,M,,,ABHS,288
19961,Maharashtra,2004,38,2,VILEPARLE,GEN,VINAYAK BHAURAO RAUT,M,50,GEN,SHS,47453
19962,Maharashtra,2004,38,8,VILEPARLE,GEN,RAJU SITARAM GOUD,M,32,GEN,IND,205
19963,Maharashtra,2004,38,3,VILEPARLE,GEN,DR. RAMESH YESHWANT PRABHOO,M,65,GEN,IND,7114
19964,Maharashtra,2004,38,1,VILEPARLE,GEN,ASHOK BHAU JADHAV,M,49,GEN,INC,56436
19965,Maharashtra,2004,38,4,VILEPARLE,GEN,KAMLESH NAIR,M,47,GEN,BSP,859
19966,Maharashtra,2004,38,7,VILEPARLE,GEN,UMASHANKAR BHAGWATPRASAD,M,44,GEN,IND,394
19967,Maharashtra,2004,38,5,VILEPARLE,GEN,SHISATKAR ARVIND RAMCHANDRA,M,40,GEN,IND,761
19968,Maharashtra,2004,38,6,VILEPARLE,GEN,SIDDHARTH HIWALE,M,44,GEN,BBM,658
24482,Maharashtra,2009,167,1,VILEPARLE,GEN,KRISHNA HEGDE,M,42,GEN,INC,44338
24483,Maharashtra,2009,167,2,VILEPARLE,GEN,VINAYAK BHAURAO RAUT,M,55,GEN,SHS,42634
24484,Maharashtra,2009,167,3,VILEPARLE,GEN,PARKAR SHIRISH LAXMAN,M,45,GEN,MNS,35156
24485,Maharashtra,2009,167,4,VILEPARLE,GEN,NICHOLAS HILLARY @,M,52,GEN,IND,2285
24486,Maharashtra,2009,167,5,VILEPARLE,GEN,KAKASAHEB DASHRATH,M,61,SC,RPI(A),2022
24487,Maharashtra,2009,167,6,VILEPARLE,GEN,YASIN ABDUL KHAN,M,37,GEN,HISWP,1162
24488,Maharashtra,2009,167,7,VILEPARLE,GEN,MOSES JOHN,M,45,GEN,BSP,972
24489,Maharashtra,2009,167,8,VILEPARLE,GEN,SANDEEP (BABUSH) SAWANT,M,39,GEN,IND,766
24490,Maharashtra,2009,167,9,VILEPARLE,GEN,JAY DINESH JANGLA,M,36,GEN,IND,569
24491,Maharashtra,2009,167,10,VILEPARLE,GEN,CHELJI S. PATEL,M,42,GEN,IND,365
24492,Maharashtra,2009,167,11,VILEPARLE,GEN,BHATNAGAR KIRAN P.,F,62,GEN,AHNP,361
24493,Maharashtra,2014,167,1,VILEPARLE,GEN,PARAG ALAVANI,M,47,GEN,BJP,74270
24494,Maharashtra,2014,167,2,VILEPARLE,GEN,SHASHIKANT GOVIND PATKAR,M,59,GEN,SHS,41835
24495,Maharashtra,2014,167,3,VILEPARLE,GEN,HEGDE KRISHNA,M,47,GEN,INC,24191
24496,Maharashtra,2014,167,4,VILEPARLE,GEN,SUHAS NARAYAN SHINDE,M,49,GEN,MNS,5882
24497,Maharashtra,2014,167,5,VILEPARLE,GEN,ADV. GODFREY WILLIAM PIMENTA,M,54,GEN,IND,1733
24498,Maharashtra,2014,167,6,VILEPARLE,GEN,None of the Above,,,,NOTA,1513
24499,Maharashtra,2014,167,7,VILEPARLE,GEN,ARUN VASANT SALVI,M,44,SC,BSP,675
24500,Maharashtra,2014,167,8,VILEPARLE,GEN,INDULKAR YOGESH ANANT,M,35,GEN,NCP,595
24501,Maharashtra,2014,167,9,VILEPARLE,GEN,ASHOK MATHURDAS PANCHAL,M,53,GEN,LB,285
24502,Maharashtra,2014,167,10,VILEPARLE,GEN,MARATHE RUPALI SUBHASH,F,40,GEN,IND,215
24503,Maharashtra,2014,167,11,VILEPARLE,GEN,ADIB HIDAYAT SHAIKH,M,36,GEN,BVA,175
24504,Maharashtra,2014,167,12,VILEPARLE,GEN,APPARAO PANDURANG GALPHADE,M,38,SC,IND,143
24505,Maharashtra,2014,167,13,VILEPARLE,GEN,ARORA RAKESH VISHWANATH,M,54,GEN,KKJHS,100
