ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
431,Maharashtra,1962,97,1,WAI,GEN,DADASAHEB KHASHERAO JAGTAP,M,,,INC,27456
432,Maharashtra,1962,97,2,WAI,GEN,BALASAHEB BAPUSAHEB DESHMUKH,M,,,PWP,10684
433,Maharashtra,1962,97,3,WAI,GEN,SHANKARRAO DAGADU JEJURIKAR,M,,,IND,5139
434,Maharashtra,1962,97,4,WAI,GEN,DINKAR SHRIPATI RASAL,M,,,IND,802
2313,Maharashtra,1967,247,1,WAI,GEN,P. B. BHOSALE,M,,,INC,33106
2314,Maharashtra,1967,247,2,WAI,GEN,D. K. JAGATAP,M,,,PWP,7918
2315,Maharashtra,1967,247,3,WAI,GEN,K. K. GHODAKE,M,,,IND,2414
2316,Maharashtra,1967,247,4,WAI,GEN,S. B. JADHAO,M,,,IND,2363
2317,Maharashtra,1967,247,5,WAI,GEN,S. M. BANDISODE,M,,,IND,443
3516,Maharashtra,1972,247,1,WAI,GEN,BHOSALE PRATAPRAO BABURAO,M,,,INC,42125
3517,Maharashtra,1972,247,2,WAI,GEN,PORE ARVIND BALKRISHNA,M,,,BJS,2840
3518,Maharashtra,1972,247,3,WAI,GEN,VITHALRAO S. BABAR,M,,,PWP,2524
3519,Maharashtra,1972,247,4,WAI,GEN,RASAL DINKAR SHRIPATI,M,,,IND,1084
5253,Maharashtra,1978,262,1,WAI,GEN,BHOSALE PRATAPRAO BABURAO,M,,,INC,37899
5254,Maharashtra,1978,262,2,WAI,GEN,JAGTAP BUVASAHEB ABAJIRAO,M,,,JNP,15990
5255,Maharashtra,1978,262,3,WAI,GEN,JAMDADE KONDIRAM BALWANT,M,,,INC,10235
5256,Maharashtra,1978,262,4,WAI,GEN,BABAR VINAYAK BABURAO,M,,,IND,938
5257,Maharashtra,1978,262,5,WAI,GEN,MORE SARJERAO GENU,M,,,IND,853
5258,Maharashtra,1978,262,6,WAI,GEN,KAMBLE RAMCHANDRA BHAUSAHEB,M,,,IND,849
5259,Maharashtra,1978,262,7,WAI,GEN,LAXMAN WAMAN JADHAV,M,,,IND,507
5260,Maharashtra,1978,262,8,WAI,GEN,JAGTAP DILIP VITHAL,M,,,IND,407
6833,Maharashtra,1980,262,1,WAI,GEN,BHOSALE PRATAP BABURAO,M,,,INC(U),42438
6834,Maharashtra,1980,262,2,WAI,GEN,PISAL MADANRAO GANPATRAO,M,,,INC,18914
6835,Maharashtra,1980,262,3,WAI,GEN,GULABRAO HARIBA PAWAR,M,,,BJP,1615
6836,Maharashtra,1980,262,4,WAI,GEN,BHOSALE RAMCHANDRA GANAPATRAO ALIAS RAMBHALL,M,,,JNP,726
9047,Maharashtra,1985,262,1,WAI,GEN,PISAL MADANRAO GANPATRAO,M,,,INC,38074
9048,Maharashtra,1985,262,2,WAI,GEN,ARVIND BABURAO CHAVAN,M,,,ICS,37231
9049,Maharashtra,1985,262,3,WAI,GEN,BHOSALE BHIMRAO BABURAO,M,,,IND,635
9050,Maharashtra,1985,262,4,WAI,GEN,MORE SARJERAO GENU,M,,,IND,163
12738,Maharashtra,1990,262,1,WAI,GEN,PISAL MADANRAO GANPATRAO,M,,,INC,36680
