ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
967,Maharashtra,1962,212,1,WARDHA,GEN,BAPURAOJI MAROTRAO DESHMUKH,M,,,INC,22275
968,Maharashtra,1962,212,2,WARDHA,GEN,RAMCHANDRA MAROTRAO GHANGARE,M,,,CPI,11579
969,Maharashtra,1962,212,3,WARDHA,GEN,SHAMRAO GOVIND CHARDE,M,,,IND,8231
970,Maharashtra,1962,212,4,WARDHA,GEN,VITHAL TUKARAM MESHRAM,M,,,JS,3671
971,Maharashtra,1962,212,5,WARDHA,GEN,RAGHOBA RAMAJI RAMTEKE,M,,,IND,1291
1722,Maharashtra,1967,119,1,WARDHA,GEN,R.M. GHANGARE,M,,,CPM,22307
1723,Maharashtra,1967,119,2,WARDHA,GEN,BAPURAOJI MAROTRAO DESHMUKH,M,,,INC,19853
1724,Maharashtra,1967,119,3,WARDHA,GEN,J.T. CHOWDHURI,M,,,RPI,4288
1725,Maharashtra,1967,119,4,WARDHA,GEN,R.D. SAWAL,M,,,BJS,3973
1726,Maharashtra,1967,119,5,WARDHA,GEN,R. S. LAMBAT,M,,,IND,3006
1727,Maharashtra,1967,119,6,WARDHA,GEN,S.B. JADHAO,M,,,IND,845
1728,Maharashtra,1967,119,7,WARDHA,GEN,R. R. RAMTEKE,M,,,IND,836
1729,Maharashtra,1967,119,8,WARDHA,GEN,R.D. PISE,M,,,IND,359
1730,Maharashtra,1967,119,9,WARDHA,GEN,G.S. NAGLE,M,,,IND,224
1731,Maharashtra,1967,119,10,WARDHA,GEN,H.J. SHRAWANE,M,,,IND,97
1732,Maharashtra,1967,119,11,WARDHA,GEN,G.K. YUGADNKAR,M,,,IND,78
2923,Maharashtra,1972,119,1,WARDHA,GEN,VASANTRAO J. KARLEKAR,M,,,INC,28419
2924,Maharashtra,1972,119,2,WARDHA,GEN,R. C. MAROTRA GHANGARE,M,,,IND,27531
2925,Maharashtra,1972,119,3,WARDHA,GEN,SHARAWANI D. PADMAKAR,M,,,FBL,2395
2926,Maharashtra,1972,119,4,WARDHA,GEN,VIJAYSINGH RAMSINGH JOT,M,,,IND,724
2927,Maharashtra,1972,119,5,WARDHA,GEN,RAMDAS SITARAM LAMBAT,M,,,IND,667
4381,Maharashtra,1978,129,1,WARDHA,GEN,SHENDE PRAMOD BHAUSAHEB,M,,,INC,52266
4382,Maharashtra,1978,129,2,WARDHA,GEN,GHANGARE RAMCHANDRA MAROTRAO,M,,,CPM,22107
4383,Maharashtra,1978,129,3,WARDHA,GEN,KARKLEKAR VASANTRAO JANARDHARAO,M,,,INC,5268
4384,Maharashtra,1978,129,4,WARDHA,GEN,RAHATE SURESH ZINGUJI,M,,,IND,1047
4385,Maharashtra,1978,129,5,WARDHA,GEN,VAIDYA MOTIRAM SAKHARAM,M,,,IND,434
6122,Maharashtra,1980,129,1,WARDHA,GEN,SHENDE PRAMOD BHAUSAHEB,M,,,INC,36942
6123,Maharashtra,1980,129,2,WARDHA,GEN,GHANGARE RAMCHNADRA MAROTRAO,M,,,CPM,17251
6124,Maharashtra,1980,129,3,WARDHA,GEN,SAWAL RAMKISAN DURGADAS,M,,,BJP,3923
6125,Maharashtra,1980,129,4,WARDHA,GEN,VAIRAGADE SAGAR RAMA,M,,,IND,969
8032,Maharashtra,1985,129,1,WARDHA,GEN,SHENDE PRAMOD BHAUSAHEB,M,,,INC,38982
8033,Maharashtra,1985,129,2,WARDHA,GEN,GHANGARE RAMCHANDRAO MAROTRAO,M,,,CPM,20212
8034,Maharashtra,1985,129,3,WARDHA,GEN,SHEKH KALAM SHEKH RASHID,M,,,RPK,8130
8035,Maharashtra,1985,129,4,WARDHA,GEN,RAUT PANDURANG DAULATRAO,M,,,ICS,3442
8036,Maharashtra,1985,129,5,WARDHA,GEN,CHIDAM SUMITRA NARAYANRAO,F,,,IND,1498
8037,Maharashtra,1985,129,6,WARDHA,GEN,BHALKONIKAR DATIA VITHAL,M,,,IND,557
8038,Maharashtra,1985,129,7,WARDHA,GEN,AGLAVE VIJAY NAGORAO,M,,,IND,410
8039,Maharashtra,1985,129,8,WARDHA,GEN,CHATUR SURENDRA HIRALAL,M,,,IND,373
8040,Maharashtra,1985,129,9,WARDHA,GEN,AHILKUMAR CHAMPALAL CHAUDHARI,M,,,IND,370
8041,Maharashtra,1985,129,10,WARDHA,GEN,KAWALE MOTIRAM RAMAJI,M,,,IND,362
8042,Maharashtra,1985,129,11,WARDHA,GEN,KHOBRAGADE PRAMOD RAMCHANDRARAO,M,,,IND,342
8043,Maharashtra,1985,129,12,WARDHA,GEN,THAKARE ANANDRAO GOPALRAO,M,,,IND,315
8044,Maharashtra,1985,129,13,WARDHA,GEN,WAGHMARE ASHOK KESHINATH,M,,,IND,267
8045,Maharashtra,1985,129,14,WARDHA,GEN,KESHAORAO MADHAVRAO RAJVAIDYA,M,,,IND,152
8046,Maharashtra,1985,129,15,WARDHA,GEN,TAKSANDE GAOTAM MAHADEORAO,M,,,IND,140
8047,Maharashtra,1985,129,16,WARDHA,GEN,MANOHARRAO NAMDEORAO,M,,,IND,111
8048,Maharashtra,1985,129,17,WARDHA,GEN,NEHORTRA PRAKASH NAGORAO,M,,,IND,79
8049,Maharashtra,1985,129,18,WARDHA,GEN,CHANDAK DILIPKUMAR GANESHNARAYAN,M,,,IND,69
10754,Maharashtra,1990,129,1,WARDHA,GEN,MANIK MAHADEO SABANE,M,,,IND,41604
10755,Maharashtra,1990,129,2,WARDHA,GEN,SHANDE PRAMOD BHAURAOJI,M,,,INC,38126
10756,Maharashtra,1990,129,3,WARDHA,GEN,ZADE YESHWANT NAMDEO,M,,,CPM,8369
10757,Maharashtra,1990,129,4,WARDHA,GEN,KAMBLE GHANSHYAM DAULATRAO,M,,,RPI,6661
10758,Maharashtra,1990,129,5,WARDHA,GEN,PRASHANT PURUSHOTTAMRAO IGNLE,M,,,BJP,3441
10759,Maharashtra,1990,129,6,WARDHA,GEN,THOMBRE RAMCHANDRA SHANKAR,M,,,BSP,2901
10760,Maharashtra,1990,129,7,WARDHA,GEN,GURMULE RAMDAS MAROTRAO,M,,,DDP,793
10761,Maharashtra,1990,129,8,WARDHA,GEN,BAWANE SHYAMRAO MADHORAO,M,,,IND,523
10762,Maharashtra,1990,129,9,WARDHA,GEN,RAMHARI BHADUJI DHANWIJ,M,,,IND,317
10763,Maharashtra,1990,129,10,WARDHA,GEN,SUBHASH GUNWANTRAO WALRAGADE,M,,,IND,312
10764,Maharashtra,1990,129,11,WARDHA,GEN,BALKRISHNA NATTHUJI ZADE,M,,,IND,150
10765,Maharashtra,1990,129,12,WARDHA,GEN,AZAD MOHAMMEDHAYAT MOHHAMMED ISHAK,M,,,IND,106
