ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
23329,Maharashtra,2009,75,1,WARORA,GEN,SANJAY WAMANRAO DEOTALE,M,47,GEN,INC,51904
23330,Maharashtra,2009,75,2,WARORA,GEN,SURESH ALIAS BALUBHAU NARAYAN DHANORKAR,M,34,GEN,SHS,48164
23331,Maharashtra,2009,75,3,WARORA,GEN,DR. ANIL LAXMANRAO,M,47,GEN,IND,30982
23332,Maharashtra,2009,75,4,WARORA,GEN,RAJU BHARAT DEOGADE,M,36,SC,BSP,7304
23333,Maharashtra,2009,75,5,WARORA,GEN,RUPESHKUMAR ARJUN,M,25,GEN,IND,2992
23334,Maharashtra,2009,75,6,WARORA,GEN,KOMBE DATTATRAY,M,41,GEN,MNS,2855
23335,Maharashtra,2009,75,7,WARORA,GEN,HITESH RAJESHWAR,M,34,GEN,IND,2483
23336,Maharashtra,2009,75,8,WARORA,GEN,NANA UDDHAV DEOGADE,M,31,SC,IND,2177
23337,Maharashtra,2009,75,9,WARORA,GEN,ADV. KAREKAR SHARAD,M,59,GEN,STBP,1797
23338,Maharashtra,2009,75,10,WARORA,GEN,ARUN NAMDEO KAPATE,M,36,GEN,SVRP,1120
23339,Maharashtra,2009,75,11,WARORA,GEN,WANDHARE MURLIDHAR,M,36,GEN,GGP,936
23340,Maharashtra,2009,75,12,WARORA,GEN,GHODMARE ASHOK TANBA,M,43,GEN,IND,654
23341,Maharashtra,2009,75,13,WARORA,GEN,MOHMMAD ASHAFAQ SHEIKH,M,31,GEN,IND,647
23342,Maharashtra,2009,75,14,WARORA,GEN,DHANRAJ KISAN VIRUTKAR,M,46,GEN,SP,624
23343,Maharashtra,2009,75,15,WARORA,GEN,ASLAM MISTRY,M,34,GEN,IND,593
23344,Maharashtra,2009,75,16,WARORA,GEN,KALE TARATAI MAHADEORAO,F,46,GEN,RWS,527
23345,Maharashtra,2009,75,17,WARORA,GEN,TAYARA CHOTU SHEIKH,F,38,GEN,AIUDF,310
23346,Maharashtra,2014,75,1,WARORA,GEN,SURESH ALIAS BALUBHAU NARAYAN DHANORKAR,M,39,GEN,SHS,53877
23347,Maharashtra,2014,75,2,WARORA,GEN,SANJAY WAMANRAO DEOTALE,M,51,GEN,BJP,51873
23348,Maharashtra,2014,75,3,WARORA,GEN,DR.ASAWARI VIJAY DEOTALE,F,42,GEN,INC,31033
23349,Maharashtra,2014,75,4,WARORA,GEN,ADV. BHUPENDRA WAMANRAO RAIPURE,M,40,SC,BSP,18759
23350,Maharashtra,2014,75,5,WARORA,GEN,DR. ANIL LAXMANRAO BUJONE,M,53,GEN,MNS,7981
23351,Maharashtra,2014,75,6,WARORA,GEN,JAYANT MORESHWAR TEMURDE,M,45,GEN,NCP,4720
23352,Maharashtra,2014,75,7,WARORA,GEN,DINESH SHIVRAM PADHAL,M,47,GEN,IND,2214
23353,Maharashtra,2014,75,8,WARORA,GEN,VILAS NAMDEO PARCHAKE,M,38,ST,GGP,2015
23354,Maharashtra,2014,75,9,WARORA,GEN,AJAY HIRRANNA REDDY,M,41,GEN,CPI,1611
23355,Maharashtra,2014,75,10,WARORA,GEN,None of the Above,,NOTA,NOTA,,1476
23356,Maharashtra,2014,75,11,WARORA,GEN,SUNIL NILKANTH TEMURDE,M,47,SC,BBM,1262
23357,Maharashtra,2014,75,12,WARORA,GEN,PAPPU DESHMUKH ALIAS PREDEEP SHANKARRAO DESHMUKH,M,41,GEN,IND,1252
23358,Maharashtra,2014,75,13,WARORA,GEN,RUPESHKUMAR ARJUN GHAGI,M,30,GEN,IND,1127
23359,Maharashtra,2014,75,14,WARORA,GEN,DILIP NARAYAN DAREKAR,M,41,GEN,BMUP,1051
23360,Maharashtra,2014,75,15,WARORA,GEN,SIDDHARTH SUMAN ALIAS WARKE SIDDHARTH BHAURAO,M,50,SC,RPI,681
23361,Maharashtra,2014,75,16,WARORA,GEN,DURGA PRASHANT BHADGARE,F,33,GEN,IND,439
23362,Maharashtra,2014,75,17,WARORA,GEN,TARA MAHADEORAO KALE,F,51,GEN,IND,428
23363,Maharashtra,2014,75,18,WARORA,GEN,LONARE KESHAV RAMDAS,M,48,GEN,ARP,406
23364,Maharashtra,2014,75,19,WARORA,GEN,SHEIKH RAJJAK SHEIKH RASHID,M,51,GEN,IND,334
