ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
740,Maharashtra,1962,167,1,WASHIM,GEN,RAMRAO GOPALRAO ZANAK,M,,,INC,26891
741,Maharashtra,1962,167,2,WASHIM,GEN,DATTATRAYA KRISHNARAO ABOOJ,M,,,IND,7832
742,Maharashtra,1962,167,3,WASHIM,GEN,GANPAT KAMAJI SHINDE,M,,,IND,4694
743,Maharashtra,1962,167,4,WASHIM,GEN,YADAVRAO KESHVRAO GOTE,M,,,JS,4068
1660,Maharashtra,1967,106,1,WASHIM,SC,M.M. KHIRADE,M,,,INC,21671
1661,Maharashtra,1967,106,2,WASHIM,SC,V.K. GAIKWAD,M,,,RPI,8758
1662,Maharashtra,1967,106,3,WASHIM,SC,H.S. JAMNE,M,,,BJS,4849
1663,Maharashtra,1967,106,4,WASHIM,SC,S.N. TAKTODE,M,,,IND,732
1664,Maharashtra,1967,106,5,WASHIM,SC,D.V. TAYADE,M,,,IND,708
1665,Maharashtra,1967,106,6,WASHIM,SC,B.N. DEOKATE,M,,,IND,375
1666,Maharashtra,1967,106,7,WASHIM,SC,M.K. SARDAR,M,,,IND,147
2859,Maharashtra,1972,106,1,WASHIM,SC,BHIMRAO MAHADEO KATKE,M,,,INC,37802
2860,Maharashtra,1972,106,2,WASHIM,SC,BALIRAM G. RISODKAR,M,,,BJS,7665
2861,Maharashtra,1972,106,3,WASHIM,SC,DHARAMARAJ V. TAYADE,M,,,NCO,2351
4266,Maharashtra,1978,114,1,WASHIM,SC,WANKHEDE BHAURAO NAGORAO,M,,,INC,25797
4267,Maharashtra,1978,114,2,WASHIM,SC,KHOBRAGADE BHAURAO NATHUJI,M,,,RPK,12548
4268,Maharashtra,1978,114,3,WASHIM,SC,GAIKWAD SHIWAJI SHAMJI,M,,,IND,7987
4269,Maharashtra,1978,114,4,WASHIM,SC,TAYADE VIJAYKUMAR BABANJI,M,,,RPI,2232
4270,Maharashtra,1978,114,5,WASHIM,SC,JADHO SONAJI PUNJAJI,M,,,IND,1132
4271,Maharashtra,1978,114,6,WASHIM,SC,DABHADE RAMBHAU FAKIRA,M,,,IND,853
4272,Maharashtra,1978,114,7,WASHIM,SC,PADGHAN PANDURANG RAMJI,M,,,IND,538
4273,Maharashtra,1978,114,8,WASHIM,SC,TAYADE DHARMRAJ VYANKATESH,M,,,IND,505
4274,Maharashtra,1978,114,9,WASHIM,SC,KHANDARE MARUTI RAWAN,M,,,IND,494
4275,Maharashtra,1978,114,10,WASHIM,SC,PATTEBAHADUR SOPAN DHARMAJI,M,,,IND,266
4276,Maharashtra,1978,114,11,WASHIM,SC,SAWALE SHAMRAO VITHOBA,M,,,IND,217
6045,Maharashtra,1980,114,1,WASHIM,SC,DHENDULE RAMESHWAR PRABHATI,M,,,INC,24652
6046,Maharashtra,1980,114,2,WASHIM,SC,GANPATRAO KANHUJI DHOLE,M,,,BJP,8222
6047,Maharashtra,1980,114,3,WASHIM,SC,GOVINDA BHAGUJI WANKHADE,M,,,INC(U),2872
6048,Maharashtra,1980,114,4,WASHIM,SC,INGALE ARVINDA SHIVRAM,M,,,RPK,2369
