ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
692,Maharashtra,1962,157,1,YAVAL,GEN,RAMABAI NARAYAN DESHPANDE,F,,,INC,15809
693,Maharashtra,1962,157,2,YAVAL,GEN,GANPAT BHAVADU MAHAJAN,M,,,PSP,15246
694,Maharashtra,1962,157,3,YAVAL,GEN,SHENFADU DEORAM PATIL,M,,,JS,3098
695,Maharashtra,1962,157,4,YAVAL,GEN,EKANATH TUKARAM PATIL,M,,,CPI,2743
1579,Maharashtra,1967,91,1,YAVAL,GEN,J. T. MAHAJAN,M,,,INC,26474
1580,Maharashtra,1967,91,2,YAVAL,GEN,G. B. MAHAJAN,M,,,PSP,11842
1581,Maharashtra,1967,91,3,YAVAL,GEN,B. A. PATIL,M,,,SSP,5825
1582,Maharashtra,1967,91,4,YAVAL,GEN,V. G. CHAUDHARI,M,,,BJS,4260
1583,Maharashtra,1967,91,5,YAVAL,GEN,V. N. PATIL,M,,,SWA,1602
2801,Maharashtra,1972,91,1,YAVAL,GEN,JIVARAM TUKARAM MAHAJAN,M,,,INC,29567
2802,Maharashtra,1972,91,2,YAVAL,GEN,KASHIRAM MOTIRAM PATIL,M,,,SOP,15022
4168,Maharashtra,1978,99,1,YAVAL,GEN,CHOUDHARI SINDHU PARTH,F,,,JNP,24021
4169,Maharashtra,1978,99,2,YAVAL,GEN,TADVI MIRABAI DAGEKHA,F,,,INC,19617
4170,Maharashtra,1978,99,3,YAVAL,GEN,MAHAJAN JIVRAM TUKARAM,M,,,INC,17583
4171,Maharashtra,1978,99,4,YAVAL,GEN,PATIL KASHIRAM MOTIRAM,M,,,IND,2285
4172,Maharashtra,1978,99,5,YAVAL,GEN,TAYDE MANOHAR RAJARAM,M,,,IND,1726
4173,Maharashtra,1978,99,6,YAVAL,GEN,SONWANE LOTU ONKAR,M,,,IND,958
5947,Maharashtra,1980,99,1,YAVAL,GEN,MAHAJAN JIVARAM TUKARAM,M,,,INC(U),30503
5948,Maharashtra,1980,99,2,YAVAL,GEN,CHOUDHARI RAMESH VITTHAL,M,,,INC,23686
5949,Maharashtra,1980,99,3,YAVAL,GEN,TADVI MIRABAI DAGEKHA,M,,,IND,6167
5950,Maharashtra,1980,99,4,YAVAL,GEN,TADVI HAMID VAJIR,M,,,JNP(SR),1059
5951,Maharashtra,1980,99,5,YAVAL,GEN,PATIL KASHIRAM MOTIRAM,M,,,IND,589
5952,Maharashtra,1980,99,6,YAVAL,GEN,DESHMUKH GANGADHAR NATHU,M,,,IND,560
5953,Maharashtra,1980,99,7,YAVAL,GEN,SANTOSH SHANKAR PATIL,M,,,IND,230
5954,Maharashtra,1980,99,8,YAVAL,GEN,SONAVANE PRABHAKAR JANGLU,M,,,IND,168
7768,Maharashtra,1985,99,1,YAVAL,GEN,MAHAJAN JIVARAM TIKARAM,M,,,INC,32685
7769,Maharashtra,1985,99,2,YAVAL,GEN,BOROLE YASHWANT MANSARAM,M,,,JNP,19009
7770,Maharashtra,1985,99,3,YAVAL,GEN,HAMID TADVI,M,,,LKD,2695
7771,Maharashtra,1985,99,4,YAVAL,GEN,MEDHE BHIMRAO KAUTIK,M,,,IND,2234
7772,Maharashtra,1985,99,5,YAVAL,GEN,PATIL KASHIRAM MOTIRAM,M,,,IND,1423
7773,Maharashtra,1985,99,6,YAVAL,GEN,SONAWANE PRABHAKAR JANGALU,M,,,IND,1292
7774,Maharashtra,1985,99,7,YAVAL,GEN,INGALE RAMESH CHATRU,M,,,IND,646
7775,Maharashtra,1985,99,8,YAVAL,GEN,DELIP FATTU TADAVI,M,,,IND,288
7776,Maharashtra,1985,99,9,YAVAL,GEN,PATIL BHAGWAN SITARAM,M,,,IND,212
10165,Maharashtra,1990,99,1,YAVAL,GEN,RAMESH VITTHAL,M,,,INC,44668
10166,Maharashtra,1990,99,2,YAVAL,GEN,ARUN GOVINDA MAHAJAN,M,,,BJP,37607
10167,Maharashtra,1990,99,3,YAVAL,GEN,DIWAKAR SHRAWAN CHAUDHARI,M,,,JD,5159
10168,Maharashtra,1990,99,4,YAVAL,GEN,KASHINATN MOTIRAM PATIL,M,,,HJP,3506
10169,Maharashtra,1990,99,5,YAVAL,GEN,KOLHE KHEMCHANDRA TUKARAM,M,,,DDP,339
10170,Maharashtra,1990,99,6,YAVAL,GEN,TADVI SULEMANKHAN KASAMKHAN,M,,,IND,134
10171,Maharashtra,1990,99,7,YAVAL,GEN,HAMID TADVI,M,,,LKD(B),127
10172,Maharashtra,1990,99,8,YAVAL,GEN,DESHMUKH GANGADHAR NATHU,M,,,IND,82
14247,Maharashtra,1995,99,1,YAVAL,GEN,CHAUDHARY RAMESH VITTHAL,M,,,INC,44077
14248,Maharashtra,1995,99,2,YAVAL,GEN,ARUN GOVINDA MAHAJAN,M,,,BJP,40000
14249,Maharashtra,1995,99,3,YAVAL,GEN,SALUNKE SUBHASH GENDU,M,,,BBMS,11431
14250,Maharashtra,1995,99,4,YAVAL,GEN,CHAUDHARY DIWAKAR SHRAWAN,M,,,JD,5547
14251,Maharashtra,1995,99,5,YAVAL,GEN,UDAY BABURAO CHAUDHARY,M,,,MUL,2016
14252,Maharashtra,1995,99,6,YAVAL,GEN,KHUSHAL RAMU MAHAJAN,M,,,IND,1620
14253,Maharashtra,1995,99,7,YAVAL,GEN,BHALERAO SURESH BHIVA,M,,,IND,566
