ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
996,Maharashtra,1962,218,1,YAVATMAL,GEN,JAMBUWANTRAO BAPURAOJI DHOTE,M,,,IND,19137
997,Maharashtra,1962,218,2,YAVATMAL,GEN,CHHABUTAI UTTAMRAO DAHAKE,M,,,INC,18128
998,Maharashtra,1962,218,3,YAVATMAL,GEN,BABURAO KASHINATH YERAWAR,M,,,IND,4793
999,Maharashtra,1962,218,4,YAVATMAL,GEN,NARAYAN SADASHIV RANADE,M,,,JS,1064
1000,Maharashtra,1962,218,5,YAVATMAL,GEN,RAMNARAYAN RAMGOPAL CHAMEDIYA,M,,,IND,457
1001,Maharashtra,1962,218,6,YAVATMAL,GEN,UDDHAO GOMA WAGHMARE,M,,,IND,198
1916,Maharashtra,1967,152,1,YAVATMAL,GEN,J. B. DHOTE,M,,,IND,35374
1917,Maharashtra,1967,152,2,YAVATMAL,GEN,A. MAMDANI,M,,,INC,19051
1918,Maharashtra,1967,152,3,YAVATMAL,GEN,P. D. DABLE,M,,,RPI,3449
1919,Maharashtra,1967,152,4,YAVATMAL,GEN,P. P. DEO,M,,,BJS,2048
3115,Maharashtra,1972,152,1,YAVATMAL,GEN,GHARFALKAR K N RAMCHANDRA,M,,,FBL,35567
3116,Maharashtra,1972,152,2,YAVATMAL,GEN,G V RAO BALKRISHNA,M,,,INC,26564
3117,Maharashtra,1972,152,3,YAVATMAL,GEN,DEO PRABHAKAR PUNDLIK,M,,,BJS,1291
3118,Maharashtra,1972,152,4,YAVATMAL,GEN,AMJADALI UMRANALI,M,,,IND,388
3119,Maharashtra,1972,152,5,YAVATMAL,GEN,UTTARWAR C RAMKANT,M,,,NCO,362
3120,Maharashtra,1972,152,6,YAVATMAL,GEN,ATRAM SHIORAM KACHARU,M,,,IND,79
3121,Maharashtra,1972,152,7,YAVATMAL,GEN,BUCHAKE GOVINDRAO PUNJAJI,M,,,IND,45
4638,Maharashtra,1978,163,1,YAVATMAL,GEN,DHOTE JAMBUWANTRAO BAPARAO,M,,,IND,55608
4639,Maharashtra,1978,163,2,YAVATMAL,GEN,GILANI WALIMAHAMAD NOORMAHAMAD,M,,,JNP,15654
4640,Maharashtra,1978,163,3,YAVATMAL,GEN,KAPSE VASANTRAO KESHEORAO,M,,,INC,2114
4641,Maharashtra,1978,163,4,YAVATMAL,GEN,DESHMUKH GULAB GANPAT,M,,,IND,1830
4642,Maharashtra,1978,163,5,YAVATMAL,GEN,PISE PANJABRAO KACHRUJI,M,,,IND,164
6310,Maharashtra,1980,163,1,YAVATMAL,GEN,TRAMBAK DATTATRYA DESHMUKH ALIAS ABASAHEB,M,,,INC,35868
6311,Maharashtra,1980,163,2,YAVATMAL,GEN,BHORE DEVIDAS SHAMRAO,M,,,IND,9106
6312,Maharashtra,1980,163,3,YAVATMAL,GEN,SITARAM RANGAPPA KAUSHIK,M,,,BJP,3185
6313,Maharashtra,1980,163,4,YAVATMAL,GEN,TIWARI RAJKISHOR MATASARAN,M,,,JNP(SC),563
6314,Maharashtra,1980,163,5,YAVATMAL,GEN,UMASHANKAR BABULAL DIXIT,M,,,IND,530
6315,Maharashtra,1980,163,6,YAVATMAL,GEN,SHANTARAM LAXMANRAO VETI,M,,,IND,501
6316,Maharashtra,1980,163,7,YAVATMAL,GEN,ATRAM SHIORAM KACHARU,M,,,IND,491
6317,Maharashtra,1980,163,8,YAVATMAL,GEN,AHIR JAYANARAYANJI BHAIRAOPRASAD,M,,,IND,49
8330,Maharashtra,1985,163,1,YAVATMAL,GEN,SADASHIORAO THAKRE,M,,,INC,38416
8331,Maharashtra,1985,163,2,YAVATMAL,GEN,BALSHAHEB GHUIKHEDKAR,M,,,ICS,10081
8332,Maharashtra,1985,163,3,YAVATMAL,GEN,KAZI JALALODDIN RAZZAKMIYA,M,,,RPI,5246
8333,Maharashtra,1985,163,4,YAVATMAL,GEN,BORE DEVIDAS SHAMRAOJI,M,,,FBL,3330
8334,Maharashtra,1985,163,5,YAVATMAL,GEN,CHACHANE MAHADEORAO NARAYANRAO,M,,,IND,607
8335,Maharashtra,1985,163,6,YAVATMAL,GEN,THAKRE PRABHAKAR DADAJI,M,,,IND,599
8336,Maharashtra,1985,163,7,YAVATMAL,GEN,CHHANGANI BADRINARAYAN GOPILAL,M,,,IND,545
8337,Maharashtra,1985,163,8,YAVATMAL,GEN,ASHOK SHETE,M,,,IND,169
8338,Maharashtra,1985,163,9,YAVATMAL,GEN,MALTIBAI MADHUKARRAO PAHANKAR,F,,,IND,157
8339,Maharashtra,1985,163,10,YAVATMAL,GEN,NASIKHAN YASINKHAN,M,,,IND,128
8340,Maharashtra,1985,163,11,YAVATMAL,GEN,RUIKAR CHANDRAKANT DATTATRYA,M,,,IND,101
11412,Maharashtra,1990,163,1,YAVATMAL,GEN,JAWAHAR TRIMBAKRAO DESHMUKH,M,,,JD,30271
11413,Maharashtra,1990,163,2,YAVATMAL,GEN,GADE HOLESHWARRAO TULSHIRAMJI,M,,,IND,23632
11414,Maharashtra,1990,163,3,YAVATMAL,GEN,DHOTE VIJAYTAI W/O JAMBUWANTRAO,F,,,INC,21633
11415,Maharashtra,1990,163,4,YAVATMAL,GEN,BALU ALIAS SHRIKANT CHAUDHARY,M,,,IND,9252
11416,Maharashtra,1990,163,5,YAVATMAL,GEN,MOHARKAR CHANDRASHEKHAR MADHUSUDAN,M,,,SHS,5935
11417,Maharashtra,1990,163,6,YAVATMAL,GEN,GAWANDE BALU RAMRAO,M,,,BSP,1057
11418,Maharashtra,1990,163,7,YAVATMAL,GEN,SHANTILAL AMBADAS JAJU,M,,,IND,848
11419,Maharashtra,1990,163,8,YAVATMAL,GEN,CHACHANE MAHADEO NARAYANARAO,M,,,IND,583
11420,Maharashtra,1990,163,9,YAVATMAL,GEN,BHAUSAHEB MANDALE,M,,,IND,330
11421,Maharashtra,1990,163,10,YAVATMAL,GEN,NANDURKAR KISHOR WAMANRAO,M,,,IND,249
11422,Maharashtra,1990,163,11,YAVATMAL,GEN,RAMDAS SHAMRAO ALONE,M,,,IND,181
11423,Maharashtra,1990,163,12,YAVATMAL,GEN,DESHMUKH VINOD NIKANTHRAO,M,,,IND,136
11424,Maharashtra,1990,163,13,YAVATMAL,GEN,NEWARE RAMKRISHNA DAMAJI,M,,,IND,115
11425,Maharashtra,1990,163,14,YAVATMAL,GEN,ASHOK RAGHUNATHAJI SINGHANIYA,M,,,IND,113
11426,Maharashtra,1990,163,15,YAVATMAL,GEN,BABBI ALIAS WAMANRAO BALIRAM NAKTODE,M,,,IND,111
11427,Maharashtra,1990,163,16,YAVATMAL,GEN,DINESH HARIBHAU SHIRAL,M,,,IND,107
11428,Maharashtra,1990,163,17,YAVATMAL,GEN,RAMDAS SHAMRAO KALE,M,,,IND,69
11429,Maharashtra,1990,163,18,YAVATMAL,GEN,SUBHASH RAGHUPATI PAWADE,M,,,IND,63
11430,Maharashtra,1990,163,19,YAVATMAL,GEN,CHANDOLE KUMAR MORESHWARRAO,M,,,IND,62
11431,Maharashtra,1990,163,20,YAVATMAL,GEN,THAKRE PRABJAUAR DADAJI,M,,,IND,56
11432,Maharashtra,1990,163,20,YAVATMAL,GEN,ABDUL GAFFAR MANIYAR,M,,,IND,56
11433,Maharashtra,1990,163,22,YAVATMAL,GEN,RUIKAR CHANDRAKANT DATTATREY,M,,,IND,52
11434,Maharashtra,1990,163,23,YAVATMAL,GEN,SHANTABAI ASHOK AMBADKAR,F,,,IND,42
11435,Maharashtra,1990,163,24,YAVATMAL,GEN,RAMCHANDRA SITARAM RAMTEKE,M,,,IND,36
11436,Maharashtra,1990,163,25,YAVATMAL,GEN,AMJADALI UMARAOALI,M,,,IND,35
11437,Maharashtra,1990,163,26,YAVATMAL,GEN,HOHD. RIJWAN HABIBUR MOHD. HABIBUR YAKUB,M,,,IND,33
15748,Maharashtra,1995,163,1,YAVATMAL,GEN,THAKARE RAJABHAU ALIAS RAJENDRA GANESHRAO,M,,,BJP,50384
15749,Maharashtra,1995,163,2,YAVATMAL,GEN,ANNASAHEB DESHMUKH PARWEKAR,M,,,INC,32637
15750,Maharashtra,1995,163,3,YAVATMAL,GEN,ANNASAHEB ALIAS BHIMSING RAMCHANDRA SOLANKE,M,,,JD,25725
15751,Maharashtra,1995,163,4,YAVATMAL,GEN,TELANG CHANDAN RAGHOBAJI,M,,,BBMS,12909
15752,Maharashtra,1995,163,5,YAVATMAL,GEN,DR. NANDURKAR PRAKASH BHASKARRAO,M,,,IND,7713
15753,Maharashtra,1995,163,6,YAVATMAL,GEN,BHORE DEVIDAS SHAMRAO,M,,,FBL,2591
15754,Maharashtra,1995,163,7,YAVATMAL,GEN,INGOLE SANDHYA WASANTRAO,F,,,IND,1101
15755,Maharashtra,1995,163,8,YAVATMAL,GEN,GADE HOLESHWAR TULSHIRAMJI,M,,,IND,970
15756,Maharashtra,1995,163,9,YAVATMAL,GEN,MESHRAM GOVIND NARAYAN,M,,,IND,918
15757,Maharashtra,1995,163,10,YAVATMAL,GEN,TURAKARVIND AJABRAO,M,,,SJP(M),880
15758,Maharashtra,1995,163,11,YAVATMAL,GEN,INGOLE ASHOK MAHADEO,M,,,RPI,656
15759,Maharashtra,1995,163,12,YAVATMAL,GEN,ADV. CHANDRAKANT DATTRAY RUIKAR,M,,,IND,472
15760,Maharashtra,1995,163,13,YAVATMAL,GEN,JYOTI VITHALRAO KALE,F,,,IND,427
15761,Maharashtra,1995,163,14,YAVATMAL,GEN,GHORSADE PANJABRAO UTTAMRAO,M,,,IND,264
15762,Maharashtra,1995,163,15,YAVATMAL,GEN,BUTALE VILAS HARIBHAU,M,,,IND,251
15763,Maharashtra,1995,163,16,YAVATMAL,GEN,WANKHADE CHANDRABHAN AMBADAS,M,,,IND,236
15764,Maharashtra,1995,163,17,YAVATMAL,GEN,KHOBRAGADE VITHAL PARBAT,M,,,IND,186
15765,Maharashtra,1995,163,17,YAVATMAL,GEN,RAJKUMAR MANGALCHAND AGRAWAL,M,,,IND,186
15766,Maharashtra,1995,163,19,YAVATMAL,GEN,RAMDAS SHAMRAOJI KALE,M,,,IND,182
15767,Maharashtra,1995,163,20,YAVATMAL,GEN,BAPURAO SOMAJI RAJGADKAR,M,,,IND,165
15768,Maharashtra,1995,163,21,YAVATMAL,GEN,NARENDRA VITHALRAO DESHMUKH,M,,,IND,152
15769,Maharashtra,1995,163,22,YAVATMAL,GEN,MEGHE CHHABUTAI VISHWASRAO,F,,,IND,122
15770,Maharashtra,1995,163,23,YAVATMAL,GEN,PADGHAN BHAGWANTRAO CHAMPATRAO,M,,,IND,110
15771,Maharashtra,1995,163,24,YAVATMAL,GEN,BABU ALIAS RAJENDRA SHIOBARAN PATALBANSI,M,,,IND,106
15772,Maharashtra,1995,163,25,YAVATMAL,GEN,SENGAR PRATPSINGH CHOTUSING,M,,,IND,97
18805,Maharashtra,1999,163,1,YAVATMAL,GEN,KIRTI GANDHI,M,,,INC,51343
18806,Maharashtra,1999,163,2,YAVATMAL,GEN,MADAN MADHUKARRAO YERAWAR     ,M,36,GEN,BJP,41011
18807,Maharashtra,1999,163,3,YAVATMAL,GEN,GHARPHALKAR ASHOK RAMCHANDRA,M,,,NCP,18728
18808,Maharashtra,1999,163,4,YAVATMAL,GEN,SANJAY GOVINDRAO BAPAT,M,,,FBL,262
18809,Maharashtra,1999,163,5,YAVATMAL,GEN,BHALERAO USHATAI DAMODHAR,F,,,IND,187
18810,Maharashtra,1999,163,6,YAVATMAL,GEN,CHALLSGAOKAR PRAKASH GULABRAO,M,,,IND,185
18811,Maharashtra,1999,163,7,YAVATMAL,GEN,RAVIKANT PADMAKAR TAREKAR,M,,,HJP,149
21208,Maharashtra,2004,163,3,YAVATMAL,GEN,ARUN PANDHARINATH RAUT,M,40,GEN,BSP,20574
21209,Maharashtra,2004,163,10,YAVATMAL,GEN,PRAVIN V.KAWALE,M,28,GEN,IND,728
21210,Maharashtra,2004,163,1,YAVATMAL,GEN,MADAN MADHUKARRAO YERAWAR     ,M,41,GEN,BJP,49234
21211,Maharashtra,2004,163,14,YAVATMAL,GEN,INDUTAI PURUSHOTTAM DATAR,F,55,GEN,IND,391
21212,Maharashtra,2004,163,5,YAVATMAL,GEN,DHOTE JAMBUWANTRAO,M,65,GEN,VJC,7139
21213,Maharashtra,2004,163,9,YAVATMAL,GEN,VISHAL RAMESH GAIEKWAD,M,25,GEN,IND,804
21214,Maharashtra,2004,163,19,YAVATMAL,GEN,VINA HIRAMAN NAGDIVE,F,38,GEN,PRBP,210
21215,Maharashtra,2004,163,13,YAVATMAL,GEN,PURUSHOTTAM DOMAJI BHAJGAWRE,M,44,GEN,IND,414
21216,Maharashtra,2004,163,15,YAVATMAL,GEN,NILESH HARIDAS SONTAKKE,M,26,GEN,IND,377
21217,Maharashtra,2004,163,17,YAVATMAL,GEN,CHANDRABHAN AMBADAS,M,65,GEN,IND,221
21218,Maharashtra,2004,163,11,YAVATMAL,GEN,MADHUKAR UDHAVO MADAVI,M,60,GEN,IND,720
21219,Maharashtra,2004,163,12,YAVATMAL,GEN,RATHOD MINAKSHI GULABRAO,F,32,GEN,IND,684
21220,Maharashtra,2004,163,2,YAVATMAL,GEN,KIRTI GANDHI,M,47,GEN,INC,42875
21221,Maharashtra,2004,163,7,YAVATMAL,GEN,ARIF RAHEMAN A RAHIM,M,41,GEN,SP,1911
21222,Maharashtra,2004,163,8,YAVATMAL,GEN,BALU RAMRAO GAWANDE,M,38,GEN,BBM,914
21223,Maharashtra,2004,163,4,YAVATMAL,GEN,RAJABHAU THAKARE,M,52,GEN,IND,7951
21224,Maharashtra,2004,163,18,YAVATMAL,GEN,BHIMRAO WAMANRAO KAMBLE,M,45,GEN,RPI(D),220
21225,Maharashtra,2004,163,6,YAVATMAL,GEN,RAMCHANDRA TUKARAM MASRAM,M,60,GEN,IND,1991
21226,Maharashtra,2004,163,16,YAVATMAL,GEN,MOHAN RAJAN ANMOLU,M,30,GEN,LJNSP,328
23375,Maharashtra,2009,78,1,YAVATMAL,GEN,NILESH SHIVRAM DESHMUKH,M,37,GEN,INC,56370
23376,Maharashtra,2009,78,2,YAVATMAL,GEN,MADAN MADHUKARRAO YERAWAR     ,M,46,GEN,BJP,36495
23377,Maharashtra,2009,78,3,YAVATMAL,GEN,SHRIKANT ALIS BALASAHEB,M,45,GEN,IND,26352
23378,Maharashtra,2009,78,4,YAVATMAL,GEN,CHANDRAKANT RAMRAOJI,M,52,GEN,IND,18650
23379,Maharashtra,2009,78,5,YAVATMAL,GEN,RAJENDRA SHRIRAMJI,M,39,GEN,BSP,9303
23380,Maharashtra,2009,78,6,YAVATMAL,GEN,PRATIMA JAGDISH DATAR,F,28,GEN,IND,2532
23381,Maharashtra,2009,78,7,YAVATMAL,GEN,MADHUKAR TULSHIRAM,M,60,GEN,CPI,2250
23382,Maharashtra,2009,78,8,YAVATMAL,GEN,GULHANE NITIN,M,36,GEN,IND,2089
23383,Maharashtra,2009,78,9,YAVATMAL,GEN,MANIK AVINASH PANDE,F,37,GEN,IND,1388
23384,Maharashtra,2009,78,10,YAVATMAL,GEN,DNYANESHWAR SHRIRAM,M,42,GEN,IND,1073
23385,Maharashtra,2009,78,11,YAVATMAL,GEN,PRAVIN VASANTRAO KAVLE,M,32,GEN,IND,1064
23386,Maharashtra,2009,78,12,YAVATMAL,GEN,DILIP BAPURAO,M,45,GEN,IND,917
23387,Maharashtra,2009,78,13,YAVATMAL,GEN,PARSRAM YADAVRAO PARDHI,M,33,GEN,IND,750
23388,Maharashtra,2009,78,14,YAVATMAL,GEN,AHEMADKHA SHERKHA,M,31,GEN,BBM,712
23389,Maharashtra,2009,78,15,YAVATMAL,GEN,PURUSHOTTAM DOMAJI,M,48,GEN,PRCP,549
23390,Maharashtra,2009,78,16,YAVATMAL,GEN,BABUSING FAKIRA RATHOD,M,54,GEN,IND,536
23391,Maharashtra,2009,78,17,YAVATMAL,GEN,MOHAN KISANRAO JADHAV,M,41,GEN,STBP,533
23392,Maharashtra,2009,78,18,YAVATMAL,GEN,SANJAY VASANTRAO,M,44,GEN,IND,271
