ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
597,Maharashtra,1962,136,1,YEVLA,GEN,HIRUBHAU MANAKU GAVALI,M,,,INC,26040
598,Maharashtra,1962,136,2,YEVLA,GEN,MADHAV BAYAJI GAYAKAWAD,M,,,CPI,10820
599,Maharashtra,1962,136,3,YEVLA,GEN,SAKHARAM GOVIND DEORE,M,,,JS,6555
600,Maharashtra,1962,136,4,YEVLA,GEN,DAGU SHANKAR KANADE,M,,,PSP,1973
601,Maharashtra,1962,136,5,YEVLA,GEN,MADHAV RUPCHAND NAGDEKAR,M,,,IND,929
1482,Maharashtra,1967,65,1,YEVLA,GEN,M. T. PATIL,M,,,INC,21224
1483,Maharashtra,1967,65,2,YEVLA,GEN,K. S. PATEL,M,,,BJS,12811
1484,Maharashtra,1967,65,3,YEVLA,GEN,S. S. AHER,M,,,IND,6700
1485,Maharashtra,1967,65,4,YEVLA,GEN,M. R. NAGADEKAR,M,,,PSP,1127
1486,Maharashtra,1967,65,5,YEVLA,GEN,W. B. NYAHRKAR,M,,,IND,800
2693,Maharashtra,1972,65,1,YEVLA,GEN,NIVRITTI RAMJI BHORKADE,M,,,IND,30923
2694,Maharashtra,1972,65,2,YEVLA,GEN,MADHAVRAO T. PATIL,M,,,INC,15509
2695,Maharashtra,1972,65,3,YEVLA,GEN,BABAN RAOJI GIDGE,M,,,BJS,6059
5817,Maharashtra,1980,71,1,YEVLA,GEN,PATIL JANARDAN DEORAM,M,,,INC(U),25851
5818,Maharashtra,1980,71,2,YEVLA,GEN,KALE RAYBHAN GANGADHAR,M,,,IND,18047
5819,Maharashtra,1980,71,3,YEVLA,GEN,PAWAR MARUTI NARAYAN,M,,,INC,16455
5820,Maharashtra,1980,71,4,YEVLA,GEN,KADAM BHANUDAS RAMCHANDRA,M,,,BJP,4236
5821,Maharashtra,1980,71,5,YEVLA,GEN,DOMADE MARUTI NARAYAN,M,,,IND,308
4005,Maharashtra,1978,71,1,YEVLA,GEN,PATIL JANARDAN DEORAM,M,,,IND,24434
4006,Maharashtra,1978,71,2,YEVLA,GEN,BHOKADE NIVRUTTI RAMJI,M,,,INC,20804
4007,Maharashtra,1978,71,3,YEVLA,GEN,PATIL DATTAJI BHIKAJI,M,,,JNP,14446
4008,Maharashtra,1978,71,4,YEVLA,GEN,DOMADE EKNATH RANGNATH,M,,,INC,6257
7558,Maharashtra,1985,71,1,YEVLA,GEN,PAWAR MAROTIRAO NARAYAN,M,,,ICS,51013
7559,Maharashtra,1985,71,2,YEVLA,GEN,LAHARE NIVRUTTI MAHADU,M,,,INC,19830
7560,Maharashtra,1985,71,3,YEVLA,GEN,JAWALA PAPA RAMDIN,M,,,IND,2496
7561,Maharashtra,1985,71,4,YEVLA,GEN,PAWAR DINKAR SHANKARRAO,M,,,IND,700
7562,Maharashtra,1985,71,5,YEVLA,GEN,SONAWANE KISHOR SHIVRAM,M,,,IND,513
7563,Maharashtra,1985,71,6,YEVLA,GEN,DHAWAN UTTAMRAO BAJIRAO,M,,,IND,508
7564,Maharashtra,1985,71,7,YEVLA,GEN,DESHMUKHA UTTAMRAO BAJIRAO,M,,,IND,279
7565,Maharashtra,1985,71,8,YEVLA,GEN,SHOOR SUBHASH MURLIDHAR,M,,,IND,218
7566,Maharashtra,1985,71,9,YEVLA,GEN,KULKARNI SHARAD RAMCHANDRA,M,,,IND,174
7567,Maharashtra,1985,71,10,YEVLA,GEN,KADAM BHANUDAS RAMCHANDRA,M,,,IND,114
7568,Maharashtra,1985,71,11,YEVLA,GEN,SONAWANE SURYABHAN NARAYAN,M,,,IND,63
9847,Maharashtra,1990,71,1,YEVLA,GEN,MARUTIRAO NARAYAN PAWAR,M,,,INC,36721
9848,Maharashtra,1990,71,2,YEVLA,GEN,ARUN LAXMAN THORAT,M,,,SHS,24067
9849,Maharashtra,1990,71,3,YEVLA,GEN,SHINDE MANIKRAO MADHAORAO,M,,,IND,13728
9850,Maharashtra,1990,71,4,YEVLA,GEN,MOHAN KARDHARI GUNJAL,M,,,JD,12256
9851,Maharashtra,1990,71,5,YEVLA,GEN,EKNATH RANGNATH DOMADE,M,,,HJP,1403
9852,Maharashtra,1990,71,6,YEVLA,GEN,KULDHAR VISHNU KONDAJI,M,,,IND,1138
9853,Maharashtra,1990,71,7,YEVLA,GEN,HEMANT DIWAKAR RANKHAMBE,M,,,IND,1102
9854,Maharashtra,1990,71,8,YEVLA,GEN,PRABHAKAR BHAURAO GUNACHARYA,M,,,IND,695
9855,Maharashtra,1990,71,9,YEVLA,GEN,KRISHNARAO PARVATRAO DESHMUKH,M,,,IND,507
9856,Maharashtra,1990,71,10,YEVLA,GEN,DESHMUKH UTTAMRAO BAJIRAO,M,,,IND,419
9857,Maharashtra,1990,71,11,YEVLA,GEN,BALASAHEB BABURAO GHOLAP,M,,,IND,393
9858,Maharashtra,1990,71,12,YEVLA,GEN,PATIL KRISHNA CHINDHU,M,,,DDP,328
9859,Maharashtra,1990,71,13,YEVLA,GEN,BHIMRAO SAMBHAJI GANGURDE,M,,,IND,172
9860,Maharashtra,1990,71,14,YEVLA,GEN,MALI GOVIND BHAURAO,M,,,IND,125
9861,Maharashtra,1990,71,15,YEVLA,GEN,ASHOK VISHWANATH SOMWANSHI,M,,,IND,111
13888,Maharashtra,1995,71,1,YEVLA,GEN,PATIL KALYANRAO JAYAVANTRAO,M,39,GEN,SHS,52144
13889,Maharashtra,1995,71,2,YEVLA,GEN,AMBADAS BALAJI BANKAR,M,,,INC,34669
